cs1110,Mark Sheriff,难度 1 热度5。教授是相当厉害的一个人，讲课深入浅出。TA质量参差不齐，要选粗的大腿抱哦,PLIR 3010 国际关系理论,Legro,difficulty 5 热度3。极其优秀的人才。然而认真读书会使你学到最多东西。talk to TA，他们比教授更了解学生的困惑,SPAN 2020,Esperanza,difficulty4 hotness3 西语中级，学完2020就可以满足language requirement 啦。推荐有基础的童鞋上。UVA的语言课是真的强,COMM 1800 intro to comm,kemp,kemp 难度1 热度5 中考政治历史的学习方法。需要大量记忆哦。,CS 2102 离散,david,难度 1 热度5 cs系大水课。,,,,,,,,,,,,,,,,,,,,,
MSE2090 Intro to MSE,James Burns,"教授很好，有很多extra credit, 认真学很容易A",MSE3080 Coerosion and cells,John Scully,作业有难度，但是考试和以前的考试几乎一样,ECE2330 Digital Logic Design,Joanne Bechta Dugan,"每节课都去，会有很多pop quiz, 但都是送分的。考试都是上课讲过的",APMA2120,Socolovsky,水课，数学基础好就自己看note. 上课特别水，基本靠自学,APMA 2130,Spencer,"每节课都会有group work, 考试相对简单",,,,,,,,,,,,,,,,,,,,,CHEM 1410,Prof. Metcalf,"1. difficulty: 4.32. hotness: 3.5 （大家选这门课的原因大多数都是因为major requirement 以及其他课程跟这门课其他教授的时间冲突所以选了这门课）3. 关于Prof. Metcalf的评价跟其他教授比起来真的不怎么样，给我感觉教的相当随意，然后经常自己讲自己的，讲的很快。没有curve！！！4. 不过因为是1410所以不是特别难，几乎靠自学。5. 这门课还有一节1411的lab  内容挺难的 但是TA都很好
6. time commitment (lab included): 7-10h/week",BIOL 2100,Prof. Kittlesen,"1. difficulty: 3.5
2. hotness: 4.5
3. 这门课教授讲的非常仔细！而且教授很有趣，上课不会觉得无聊想玩儿手机。内容量挺大，要记的东西很多，不过教授会给curve。上完这门课一个本子写满了笔记。
4. 这门课附带一个lab，占用时间很长，比较无聊，但是难度偏低。
5. time commitment (lab included): 7-10h/week",MATH 1310,Prof. Lois Pierra,"1. difficulty: 1.5
2. hotness: 3.7
3. 对中国学生来说是门水课，如果没有ap抵掉上一上可以boost gpa，其他就没啥了，会给curve，稳A !
4. 这位教授带口音，教的也不好。。。完全靠自学
5. time commitment: 2-4h/week",PSYC 2150,Prof. Willingham,"1. difficulty: 3.8
2. hotness: 4.5
3. 教授很有意思，上课不会无聊，因为考试内容25%来自lecture 25%来自课本，这门课内容很有趣，对认知心理感兴趣的同学可以上！一定要好好整理笔记，定期预习噢，阅读量挺大的
4. 考试内容挺难的，但是教授上学期把average grade调到B－还是B，所以会有curve up！
5. time commitment: 6-9h/week",COLA(thirteen ways to interpret ancient text),Ashleigh Elser,"1. difficulty：1
2. hotness：4.5
3. cola是college seminar，专门给大一第一学期的学生上的，后面就不能再上啦，只有一个学分，但是大家都会拿A
4. 这门课内容超级有意思！教你用各种不同的方法去理解genesis里面的一个故事，绝对打开新世界大门！reading量不大
5. time commitment: 1-3h/week",ENWR 1510 (Animal Philosophy),Prof. Lindgren Johnson,"1. difficulty: 4.5
2. hotness: 4.5
3. 这门课是我目前为止最喜欢的一门课！整个课是讨论形式，participation占很多分所以要多说话（所以需要课前准备什么的），非常要求批判性思维！很inspiring，让你看问题多了很多角度，以及阅读量大，但都非常有意思！读起来不会觉得无聊不想读。教授很热心，可以随意约office hour～
4. time commitment: 7-10h/week",CS 1110 Intro to programming,Prof. Luther Tychonievich,"1. difficulty: 4 (对于文科生和理科生差别挺大的。。。qwq)
2. hotness：4.5
3. 教授很可爱，讲课特别有激情，可我很难听懂。。。文科生慎重考虑吧。。编程挺好玩儿的，以及在lab和partner合作也特别开心！
4. time commitment: 4-6h/week",MATH 1320 Calculus II,Instructor: Jonathon Simone ,"1. difficulty: 3.4
2. hotness: 4.5
3. 这位教授长得帅教的也好，是一个graduate student，上课会有i－clicker question（虽然只有32个人左右）挺难的，但是平时不用花太多时间，考前复习就ok啦！作业量挺大的，而且有网站上的和手写的。
4. time commitment: 4-6h/week",PSYC 3410 abnormal psychology,Prof. Robert Emery,"1. difficulty: 3.5
2. hotness: 4.8
3. 内容特别有趣，跟生活息息相关啊！教授很搞笑，但是很厉害（撰写教科书来着）会看很多有意思的案例，然后阅读量比较大，作业不多，但是如果你想提升一个grade，可以写5篇additional paper（one page）
4. time commitment: 3-6h/week",ECON 2020 macroeconomics,Prof. Lee Coppock ,"1. difficulty: 3.5
2. hotness: 4.8
3. 教授非常注重打扮，每次上课领带都是不一样的。教的很好，但是discussion的ta基本决定了你考试成绩。遗憾的是我选的ta特别较真所以会多扣几分。。。（alexanda gross...）pre-comm必修课吧（当然ap抵掉了就无所谓啦）
4. time commitment：3-6h/week",,,,,,
dram 2310,Marcy linton,"Difficulty 1, hotness 5",Arch 2360,Andrew,很实用,arch 2010,Anthony,很好玩,arh,不记得,不好玩,arh 1020,不记得,很好玩,,,,,,,,,,,,,,,,,,,,,
CS1110,Sheriff,5，蛮有意思的,PLIR 3060,Copeland,5，有点难，但我觉得贼好,MUSI1310,TA,5，easy a,HIEA3313,Xiaoyuan Liu,5，有点难，但内容很有深度,Comm1800,Leopold,4方式新颖，内容一般，考试不难,,,,,,,,,,,,,,,,,,,,,
Musi 3310,Doktor,"Difficulty 1, Hotness 5, a very interesting professor who shouts out f word frequently during classes, hmm...but they are helpful..",Musi 2070,Prof. Hagstrom ,"Difficulty 1, Hotness 5, One of the best lecturer of the department, hmm, only three short essays for a 4 credits class",Musi 3334, Stine,"Difficulty 5, Hotness 5, nice instructor but the course itself has fast progress, crazy syllabus. No zuo no Die.",Musi 3680,I jeng,"difficulty 1, hotness 5, choose this one if you don't play an instrument well but want to get an A for performance. No pressure at all and no need to prepare for anything.",EVSC 2801-002 LAB,Unknown,"Difficulty 2, Hotness 4, simple lab activities that allow you to recognise stones and stones.",,,,,,,,,,,,,,,,,,,,,
Psy2150,Prof. Williham,教授真的很棒！考试都是选择题,Econ2010,Prof. Elzinga,教授很好，比AP讲的内容更加详细、深入,ENWR1510,Prof. Charles. Slign,教授人特别好！是夏洛克主题的一门课。但是Paper不是很好拿分,Math1310,Staff,能用AP换赶紧换。考试题目很刁钻,Comm1800,Prof.Kemp,商院必修课。教授特别逗，但是考试主要靠自己看书,,,,,,,,,,,,,,,,,,,,,
ENRW1510 what is creavity？,Prof Jeremy Townley,Generally 推荐enwr 1510 上完这节课writing skills真的提高很多，对写paper有一个系统性的了解练习！虽然这个topic 看起来很吓人很不attractive但是如果以后你想major社科我觉得是很好的练习！professor也很 nice很helpful！给分也很fair！,PSYC 2150 cognition psych,Prof Daniel Willingham,课非常有意思 prof讲课特别清晰！他讲课特别有趣，经常讲笑话！grade有点难拿 我上这节课的那个学期200个人左右大概10%的a*和a 但是上这节课特别值！,PHIL2060 philosophical problems in law,Prof Alan Simmons,想对美国的法律又一个general的了解的学弟学妹强推啊！prof特别smart 他会让你深思一些高深的问题哈哈哈哈 difficulty 3.7/5 课不是很难进但是很少人drop,ECON 3020,Jae Won Lee,我觉得这是最简单的一节econ3020了！老师又非常重的韩国口音！讲课不算特别清晰因为他老在想用英语怎么表达他的意思。但是人很nice，你找他问问题他不一定讲的清楚但是他真的在try his best TA是个中国人我觉得蛮好的 思路很清晰，他的discussion可以不用去不计attendance 很chill！,STAT2120 intro to statistics,Jeffrey Woo,这节课很简单，easy A只是比较耗时间比较琐碎，要做的事情很多，lecture比较无聊，其实可以不用去，但是Jeff讲的很清晰，讲题能讲的很明白。会有很多人take这节课 互相carry吧～,,,,,,,,,,,,,,,,,,,,,
Psyc 2600 Social Psychology,Prof.Oishi,Difficulty2 hotness 5 我觉得这门课特别特别有意思。也不是很难心理课是没有作业的,Maths 3351Linear Algebra,Prof. Huneke,Difficulty3 hotness 3 我觉得这个教授特别好很有耐心作业稍微有些多,Astr is1210 Intro to SolarSystem,prof.Evans,Difficulty 2 hotness 3 这个老师教的课比较容易其他老师有点难考试也不难都是选择,Dram 2010 Acting I,Graduate Student Randy,difficulty 2 hotness4表演还是特别有趣的，考试大多数也是表演。这门课虽然不难，但表演一定要多花心思,psyc1010,prof. Dodson,difficulty3 hotness2这个教授上课特别有热情讲的也思维很清晰，就是考试有点多,,,,,,,,,,,,,,,,,,,,,
CS1110,Prof. Sheriff,Difficulty4，Hotness 5，教授这门课很强，做好作业，最后的成绩就会很好,APMA3110,Prof Fulgham,Difficulty 3，Hotness4，老师人特别好，这是一门工院的probability课，教授office hour会尽全力解答你的问题，我也和他成为了好朋友,Econ 2020,Prof Coppeck,Difficulty 5，Hotness 5，教授绝对是UVA第一等的经济教授，上课能让500人都集中注意力，而且要点例子都简洁明了，就是考试很变态,ENGR1620,Prof Donohue,Difficulty 2，Hotness 4，这是工院必修课，课上会让你以小组形式动手造东西，我们自己锯木头做了一个可伸缩拐杖,PHYS1425,Prof ryan,Difficulty4，Hotness 5，老师iclicker很难，但是讲课清晰,MSE2090,Prof Floro,Difficulty 5，Hotness4，老师上课用了一种叫guided inquiry的方式，与lecture不同，这门课给分比较奇怪，不过内容很好，让你了解材料的性质,APMA2120,Prof MM,Difficulty4.5，Hotness 5，教授不用质疑是工院最好的数学教授之一，老爷爷很逗，课很火,,,,,,,,,,,,,,,
PSYC 2150 Introduction to Cognition,Daniel Willingham,"Difficulty: 4, hotness: 5++, 教授非常有趣非常酷，对这门学科非常热爱，内容很有趣略微有点难，但我建议大家，上了它",CS 1110,Mark Sheriff,"Difficulty:1, Hotness: 5, 教授好，考试fair，带你走入CS汪洋大海",ARH 1020: History of  Architecture II,Sheila Crane,"Difficulty:5; hotness:2, 建院必修，所以如果你要申请建院肯定要上，不过College 的话哈哈哈哈哈哈，小心尝试，我学到了前所未有的知识，也熬了前所未有的夜，背过了前所未有的单词和奇奇怪怪的人名，而且这门History竟满足不了Historical requirement，So...",PHIL 1710: Human Nature,Harold Langsam,Difficulty：3，hotness：3 我喜欢这个快乐的老爷爷，这门哲学课就是我那学期精神粮食…个人觉得前半部分讲Rationality好玩一些，后部分Morality稍无聊，没有作业都是reading，3Paper,STAT 3080: From data to Knowledge,Cook Heather,Difficulty：**** hotness：**** 最后一个空位一定要让大家避雷，别选Cook当instructor，但大家可以试试找金甲鱼当Partner；）,,,,,,,,,,,,,,,,,,,,,
Econ3020,Sophie,她会联系时事来讲内容，比其他教授难但是真的可以学到很多东西,Comm1800,Bob Kemb,不进商院别上lol,HIEA2031,Reed,很有意思，满足requirement，work load不大,ENWR1510,Prof. Cavens,工作量很大，但是很有用,Cal3,Xiang Wan,很难，但是讲的很详细也觉得自己学到很多东西，推荐有ap的学弟学妹直接上,,,,,,,,,,,,,,,,,,,,,
HIEA-1501 Though and Religion in Imperial China 16Fall,Cong Zhang,"Difficulty: 3.5, hotness: 3, seminar class, 2nd writing requirement, 张老师很nice，paper量适中。",ENWR-1510 Writing Animals 16Fall,Lindgren Johnson,"Difficulty: 4, hotness: 3, seminar class, 1st year writing, 每天要写discussion forum，reading量大。",ECON-2010 MicroEcon 16Fall,Marc Repiquet,"Difficulty: 3, hotness: 4, 教授很nice，上课直奔主题没有废话，效率高效果好。",RELB-2715 Chinese Religion 17Spring,Natasha Heller,"Difficulty: 3, hotness: 2, 学一些你认为你很熟悉但其实你什么都不懂的中国宗教，阅读适量，作业几乎没有。",ECON-2020 MacroEcon 17Spring,Lee Coppock,"Difficulty: 3, hotness: 5, 很棒的教授，lecture逻辑性结构性强，内容通俗易懂却不乏味，考试需要准确和严苛的记忆能力。",,,,,,,,,,,,,,,,,,,,,
ARTS 2610 Drawing 1,Prof. Schoyer,"Difficulty 4, hotness 5(取决于你以前有没有画画基础），workload 5 (每周额外至少8小时）。Schoyer非常controlling，但是人也很 nice，就是workload很大",COMM1800,Prof. Kemp,"Difficulty 4, hotness 5这节课彻底打消了我对precomm的想法，对自己将来到底要不要申comm school还不确定的同学可以上一下这门课，会给你一个方向",ENWR 1510 Sherlock Holmes,Prof. Sligh,"Difficulty 4, hotness 5. 这门课很有意思，主要是分析福尔摩斯系列里几个很重要的故事，同时也会研究Victorian England. discussion为主，老师非常gentlement,上课很舒服，也很好说话。",SOC 2220,Prof. McConell,"Difficulty 5, hotness 4这节课主要是学习一些系统性的社会学概念，然后根据一些实际案例来分析。老师讲的很有意思，但是我不太喜欢我的TA。我觉得这门课很值得上",MDST2000,Prof. Williams,"Difficulty 5, hotness 5. 我在uva目前为止最喜欢的一门课，虽然人数很多，作业也不少，但是真的很值得上。主要讲美国传媒的发展史，也是media studies专业的必修课。我的TA非常nice，我们在课后也有交流。",,,,,,,,,,,,,,,,,,,,,
CLAS 2020 Roman Civilization(2017 Spring),Prof. Myers,"Difficulty 2, Hotness 4, 这节课特别有意思。如果你喜欢罗马历史，这个课绝对适合你。考试已不是特别的难，只要你上课时有用心的听就行了。而且，这个课满足两个area requirement （historical & literature）。",COMM 2010 Financial Accounting(2017 Spring),Prof. Backof,"Difficulty 5, Hotness 5, 想申comm school的人都会学这节课。教授虽然讲的有点快，可是她讲的还是蛮清楚的。",COLA 1500 Hitchhiker's Guide to the Galaxy(2016 Fall),Prof. Kachru,"Difficulty 1, Hotness 1, 这个教授特别好。他人好，讲的也很好，特别有墨水。这个课主要是讨论 Hitchhiker‘s Guide to the Galaxy。这本书特别有意思，绝对值得读。",COMM 1800 Making Business Work(2016 Fall),Prof. Kemp,"Difficulty 3, Hotness 5, 如果你不想申商院就别上这鬼课。Kemp真tmd“厉害”。希望新的教授会好很多。",STAT 2120 Intro to Statistical Analysis(2016 Fall),Prof. Woo,"Difficulty 5, Hotness 5, Prof. Woo 是个很不错的老师。这门课会比较难，可是如果你常去上课的话，应该不会有太大的问题。这门课注重于了解，而不是死记硬背那种。",,,,,,,,,,,,,,,,,,,,,
"Anth 2621culture, gender, violence",Richard Handler,"Difficulty 3, hotness 3. About campus sexual violence,我觉得很有意思的一门课，对gender culture critic有兴趣，又比较politically active的人会喜欢。Pro. Handler is something. Some people think the way he teaches is a little bit crazy,但我很喜欢。阅读，三篇paper response，给分偏高。",Phil2660 philosophy of religion,Prof. Merricks,"Difficulty 4, hotness 4. 内容有意思，讲课风趣。三个考试，essay questions，要拿A得写的很详细清晰。",Econ2020 principles of macroeconomics (intro),Prof. Coppock ,"Difficulty 3, hotness 5. 不过我高中学过一点经济。教授讲课注重结合实际、和学生互动，让经济原理显得生动。500人大课，课后找教授他会很愿意了解你。给分还好。",Math2310 calculus 3多变量微积分,Prof. Ira Herbst ,"Difficulty 5, hotness 3. 我觉得非常可爱的一个教授，每次问问题他都很认真地回答，让我觉得亲近（不过也有学生怕他）。讲座听不大懂，看书去office hour去了很多。考试fair。",Soc2052 sociology of family,Prof. wilcox,"Difficulty 2, hotness 4. 讲dating, cohabitation, marriage/divorce, child bearing, same-sex marriage一系列。和生活联系紧密，教授和善（prof. Wilcox is very religious/conservative though)。PPT讲课，比较common sense。Paper给分看TA，考试不难，总体给分偏高。",CPLT 2020 History of European Literature 2,Prof. Jost,"Difficulty 4, hotness 2. 讲文艺复兴前后到现代欧洲文学，三个paper，满足second writing requirement。给分还好，so don't be scared if you are really interested。教授上课扯东扯西（但是去他office hour之后还是好喜欢他），TA解释得比较清楚。",COLA 1500 Plato,Prof. shuve ,"Difficulty 4, hotness 3. 小课，一帮大一的一起讨论问题，一学期以后彼此熟悉。理想国其实比较难读的，但是课上一些philosophical discussion很有意思。教授和善，而且COLA teacher会是你的academic advisor。阅读难但是课其实还好，最后给分不严。",USEM 1570 contemporary social justice,Lisa Speidel,"Difficulty 2, hotness 3. 小的讨论课，和同学互动很多。让你在race, gender, sexual orientation等问题上更well informed。教授chill，给分不严。",Enwr 1510 words and images,Ankita Chakrabarti,"Difficulty 4, hotness 3. 讲essay, photo essay, 文字和图像如何互动表意。阅读有些难，课总体不难。老师和善，可以在交assignment前多找找她。",Math 3100 intro to probability,Tai melcher ,"Difficulty 4, hotness 3. 概率入门。老师讲题讲的比较清楚的。理论讲的不那么多。考试比较basic.老师不是特别organized,但是也比较认真友好的。",,,,,,
BIOL 2100 Intro biology with lab,Prof. Kittlesen,"Difficulty 3, Hotness 5, 这节课是生物学基础，教授人很好，给分很好，课重在理解，不难",PSYC 2200 Neural basis of behavior,Prof. Brunjes,"Difficulty 5, Hotness 2, 课程较难，但是很有趣，对生物专业以及心理专业的同学很有帮助",BIOL 3240,Prof. Kittlesen ,"Difficulty 4, Hotness 2，really interesting，although a little bit difficult",ECON 2010,Prof. Doyle,"Difficulty 2, Hotness 5, not difficult, required for commerce students",BIOL 2200,Prof. Mansson,"Difficulty 3, Hotness 4, basic for biology student, interesting but a little bit difficult.",,,,,,,,,,,,,,,,,,,,,
First writing course (ENWR 1510),Neal Curtis,教授和学生的互动很好，授课内容很有意义 同时提升写作水平,Modern Physics,Xiaochao Zheng,尤其推荐给工院的学生，属于science elective。中国教授 可不是很难，认真学容易拿高分,German 1010,Any professor,入门课 非常容易拿满分，小班授课，教授都特别好接触,ARTS 2610,Prof. Amy,推荐给对艺术感兴趣的同学，一定要有基础。课不难 比较休闲，不过还是要认真对待,Probability (Math 3100),Meyer,基础概率学的课 工院和文理院的学生都可以选，有国内数学基础的学生学起来很简单,,,,,,,,,,,,,,,,,,,,,
PHIL2660,Professor Merricks,"Difficulty 3-4, Hotness 5. 教授极为出色，但文科课对刚到美国的学生可能会有些困难。",MATH 2310,Professor Petrov,"Difficulty 3, Hotness 4. 国内学生的入门数学课，基本课程设计，分数提升机会很多。",BIOL 2100,Kittlesen,"很基础的生物课，只要认真听课，完成阅读和课外作业不是很难。Difficulty 2, Hotness 4. 若想生物专业除非有AP（考过AP就不建议上了），其余学生必修。",ECON 2010,Professor Santugini,"Difficulty 1, Hotness 3-4. 教授人非常友善，课上课下都会给予很多帮助。课程很简单，但也很重要。如果想复习一下基础经济的同学可以选择。",MUSI 1310,Chattleson,"乐理基础课，非常有用，考试较简单，推荐对乐理感兴趣或者想复习基础知识的同学来上。Difficulty 2, Hotness 3-4.",,,,,,,,,,,,,,,,,,,,,
MUSI 1310 Basic Music Skills,谁教都行,这门课讲最最基础的乐理，非常适合同学们满足Fine Arts Requirement.非常doable而且上完真的会觉得挺有成就感的。难度2，热门度4。,MUEN 3650 University Singers,Prof. Slon,全校最大的合唱团，九十到一百人。每学期至少一次公演，每学期唱的歌曲都非常有特色(有一定难度)。开学第一周会组织audition，第二周会组织callback。难度1-5分人(觉得难度1的人有可能会被选进更小的Chamber Singers)，热度...1 for Chinese students... 4 for other students.,STAT 2120,Hhhhhhh,商院经济专业必修，其实挺躲不过的，Lecture怎么样完全看教授，Lab的话呵呵哒……4分的课作业量相对较大，不要掉队就好~难度4，热门度5。,MUSI 2302 Beginning Keyboard Skill,Prof. Mayhood,十人的小班钢琴课，需要教授同意才能上，建议零基础或者几乎零基础的同学学习。刚开始的时候可能会觉得很简单，但是中间如果不仔细容易掉队。难度2，热度4。,ECON 3010,Kloosterman,这个老师貌似只有春季学期才讲课，不过其实说实话3010我觉得要比2010(估计所有的学长学姐们都写了这门课)简单一点……可能没有大课所有人一起struggle的感觉，但是所有人考试都答不完卷子然后curve巨大要比2010的93A curve到 92.5 A要爽得多。是个四分课，但是我个人觉得工作量并没有那么大。但是因为是经济专业必修课，所以大一有可能选不上。难度3，热度6。,,,,,,,,,,,,,,,,,,,,,
