Math1320: 是Cal2课程，其实还挺难的，比Cal1难好多，听说比Cal3还难。上课老师也都是staff，建议如果能用ap换还是尽早还掉比较好。,DRAM1010: How Theatre Works，是一节非常有趣的课，只是上课地点离dorm挺远的。上课除了Lecture还会有Sectional Work，会分组演戏。教授Cady Garey人超好，她邀请的guest speaker也都很棒！安利这节课各位戏精！,FREN3032: 看这节课点评的孩子们应该不太多……这节课上的是法国文学，会要求读很多东西，有诗歌，小说，散文和剧本。我的教授是Jennifer Tsien，一个在美国出生法国生活过的ABC，非常喜欢中国文化，人也非常nice！,
MATH1320 课程不难 calculus2 认真学刷题分还算好拿。老师是James上课很负责很认真也懂很多，ta就emmmm了不过discussion也就去考个quiz，不指望ta教啥。每周固定的十几二十道网上的题目，不多。,ECON2020，我的爱！很喜欢coppock的上课方式，考试的时候辛苦点，平时没作业。,CS1110 泰康的，能不去上课就不去上课的我，每次都在被窝里看视频，挺良心的，好拿分。,STAT3220 课程内容是2120的延伸，很实用，老师新毕业经验不足上课一般般，不过extracredit啥的很多，老师对大家的分都很松，努力努力不难。不过A是95……,ENWR1510 Charity Fowler的看电视剧的，对于不想看书的我来说是救星，几乎没reading，作业就是看电视剧看同人视频AO3啥的hhhh成绩没出来也不知道分好不好拿
"Math1320 aka Calculus 2 还挺难的，所以能换掉是最好的，我的教授是James Philips 讲的比较清楚，板书也很清晰。作业量中等，但一定要花时间看书。","Stat2120 难度中等，Professor Woo人很好，也很负责，作业量不大。","Comm2010 难度中等，是网课，就是在线看教材做practice，我个人比较不适应也不太喜欢这种教学方式。",,
Econ 2020 with Lee Coppock: 教授很好很有魅力，课程也很简单，去了大部分lecture的话就是easy A,Math 3351 with Sara Maloni: 法国教授，口音重，板书看不懂，一切全靠自学。,Comm 2010 with Roger Martin: 网课，就是自己在网上看书做题，每周日晚上有h w due，选了这节课，课表一下空荡荡还是很爽的。略枯燥但不是很难。,,
EDIS 2010+2080 with Vivien Chabalengula 课程不难 教授人很好 A率过半 需要在附近中小学支教+写essay workload 一般大 收获很大,CLAS 2040 课程难度一般 教授讲希腊神话很有趣 考试是简答 主要考Fact 一学期5个essay 和几个quiz  TA给分都比较好 是满足literature的一门相对简单的课,ENWR 1510 rethinking ambition 课程内容跟生活息息相关 很有深度 教授人也很好很有思想 workload 不大 但是高分并不容易拿,KOR 1020 教授人超级好超级耐心！因为是每天上课所以workload有一丢丢大。但学习韩语重在每天的积累。十分推荐崔教授！！！,CS 2110 workload 相对较大，每周都有一个coding hw。难度中等，对概念的掌握很重要。Professor Nada Basit 人十分好十分耐心。AI 好难 不会,CS2150 难 但是快水完了 考前多拜佛,MATH 3354 没去上过但好像A稳了,,
"ARCH 1030 with Meredith Blake Meredith 是一个比较严格的一个老师，她平时还挺nice，但是打分会特别严格。","ARH 1020 with BP BP 是一个不错的教授，她上课会讲许多考试必要的知识，所以最好别缺课。还有就是如果不是建院专业的同学，最好做好心理准备，因为workload比较大。",EVSC 1300 with Robert Davis， Robert上课特好玩的，课堂会特别有趣，整个学期一共四个考试，所有grade会based on这四个考试，你还可以drop最低分的那门考试。,,
"MATH4330 Advanced Multivariate Calculus. F**king hard but worth to spend time on it. You will learn fundamental proofs of Calculus on manifolds.which are amazing! Prerequisite: MATH3310+MATH-3351 Prof: Ben Hayes nice nice professor (try to take his class yourself and you will know how nice he is:) )","MATH4110 Intro to Stochastic Processes Prerequisite: MATH3100 not very interesting but a useful class in financial math/ Prof: Tai Melcher she is not very good at proof but a nice lady","MATH4840 Intro to Math research. amazing class. Prerequisite: MATH3310+ MATH3354 better if also take MATH4652 if you are interested in math and have some background in proofs then you definitely should try it! Prof: Weiqiang Wang he does have an Chinese accent but is very knowledgeable and enthusiastic in the class material. Grade is composed by homework and presentation(solo talk 1 hour each twice per semester. may be different depending on professors)",,
ENTP 1010 Intro Entrepreneurship 课程不难，教授人好，作业也少，但是还是能学到很多的~,SOC 3440 Chinese Society 每周几篇reading，老师是中国人，满足non-western perspective，一共两个paper（一个两页一个11页）,DANC 3640 Dance for the Camera 是一节学习拍摄movement的课程，包括如何用相机和视频剪辑等。一共五个projects。难度还行，老师很厉害也很好，对于镜头和剪辑感兴趣的我推荐这节课。,COMM 3410 Comm Law I 还是有难度的，老师讲课特别有趣，学的东西也挺applicablle的，推荐有兴趣的同学学。,"ARTS 2610 Intro to Drawing 画画课，上photography new media等一类课的requirement 芭芭拉老师真的是宇宙第一好，如果要学画画一定要选她的。"
"APMA2120 calc3: 工院的微积分4credit所以课时会多一些，但是很实际而且简单，选Mike",CS2110 JAVA， 作业有时间有点麻烦，总体不难，david edwards 教的一般,"CS2102 discrete maths: 难度因人而异，我觉得比较难，david Edwards出卷很神奇，尽量别上他的课",Phys1425 经典力学的东西，不难但是总是考不高分【捂脸】选哪个教授感觉区别不大,"Phys1429 1-credit lab，workload大概跟一节3学分的课差不多，工院必修，每周一篇lab report，prelab: postlab 花的精力很多但是收获也挺大，对于实验建模熟悉了很多。

第六节课：PHIL2660 Philosophy of religion: It's more of philosophy than religion. 是哲学入门很好的一门课，教授Trenton Merrics很好，很有趣。"
PHYS 2660 Scientific Computing with Chris Neu: 后期有一些难度，上课比较轻松，考试比较 tricky，需要一定编程基础,PHYS 3420 Electricity and Magnetism with Jeffery Teo: 不是很容易的一门课，作业难度一般，老师讲的一般,PHYS 3210 Classical Mechanics with Peter Arnold: 非常棒的一个教授，教的特别好，考试难度适中，作业有时会有一些难度, PHYS 3660 Quantum Mechanics II with E. Kolomeisky: 巨难，讲课不是很清晰，需要花费大量时间课后钻研，比 Quantum I 倒是意外的好了一丢丢，作业也是非常的难,
"APMA 3080工院版本的Linear Algebra。Major Stats的同学可以选择用这节课替代MATH3351满足Major Requirement。我是和Monika上的，教授人非常好，讲课清晰，每节课还会发很有用的讲义。平时作业包括written hw和webwork，每两周会有quiz（不能drop）。总体来说推荐，难度不大。","STAT 3080非常实用的一节stats课。教授人非常非常approachable。这节课没有考试，只有每周的作业和projects。Office Hour效率比较低，不知道下学期会不会增加TA改善这个情况。总体来说难度不高。","STAT 3120这节课说实话没什么好说的。会想上这节课的人都是因为不得不上。我上的是Taylor Brown的。考试目前考的和practice很像；因为作业占比很大，所以作业还挺多的。教授水平无话可说。",,
cs 2150 其实完全没怎么去过lecture 感觉floryan和reiss都不太负责 完全看ppt自学 内容确实很有趣也很重要，但是不太喜欢教授和ta不负责的工作态度,cs3102 robins教授是个好人但是感觉不太会教书，作业和上课内容关系不大。然后作业也不给答案，错了也不知道为什么，非逼我们去office hour让我们当面听ta解释答案。但性格内向不爱交际的人怎么办啊？来工院上课不就是为了不用再和不认识的人尬聊吗,biol3240 immunology with kittlesen 完美 我可能爱上了kittlesen,japn 2020 with kawai 反正就是语言课呗 从1010开始一直是kawai教上来的 很喜欢她 总之，语言课要是能读到2020那也不需要听我的意见了…,
BIOL3240 Introduction to Immunology with David Kittlesen: 在uva最喜欢的课，教授是在uva最喜欢的教授。Kittlesen很会讲课，lecture逻辑清楚，每节课都有笑点，很尊重学生，非常有耐心。他对生物和教学超级无敌大的热让我觉得听课和复习这个课都是十分快乐的事。这节课学到了很多和自己的免疫系统相关的有趣知识，也学了很多实验的逻辑和方法，强烈推荐给所有对生物有兴趣的人，喜欢BIOL2100的人一定不要错过！一定要读reading不然学不懂，推荐去office hour，推荐课上录音考试之前听，只有optional的作业（做得好加分做得不好不扣分那种）。考试要背的东西特少，更多的是理解和应用，每次考试题少但是很烧脑，theCourseForum上大家说考试很难，但是只要好好复习，完全理解就能考得好。,PHIL3010 Darwin and Philosophy with Erin Eaker: 教授很可爱，虽然课叫达尔文但是课上大部分在讲政治相关的东西，没有哲学基础可以学但是会有点费劲。每周要写一到两个reading notes，还有一个discussion response。一共要写两篇很短的paper，还有一个期末。觉得还是学到了挺多东西的。,MATH3351 Elementary Linear Algebra with Andrew Obus: 教授很聪明，对数学很有热情讲着讲着就开始微笑那种。上课很愉快，因为又需要动脑又听得懂。课上会讲让人窒息的证明但是考试不难。,BIOL4230 Bioinformatics and Functional Genomics with William Pearson: 需要很强大的CS和统计背景，不然完全不知道课上在讲什么，不需要什么生物的基础。作业是写码，要花很长时间，office hour也少。一节课讲的东西太多了，无法follow，但是给分好像比较松。有客友一起会好一些，除非CS和统计很好，不然推荐不要选这门课。CS major的同学上完2150似乎可以考虑一下？,BIOL3000 Cell Biology with Michael Wormington: 不用看书，考试之前听lecture的录音并且transcrib比较有用。教授懂的很多，考试很tricky，作业超级难，想学好的话workload很大，但是学到了很多。
stat 3220 课程本身不难 由作业 期中及小组项目组成。会用到sas软件 比较实用。教科书非常有帮助。,econ 4190 industrial organization 和intermediate micro很像。比较偏理论,cs1110 很多人说这门课很容易 但是我觉得想拿A还是需要付出较多时间和精力的。但是内容很实用。,,
MATH3351 with Sara Maloni: 意大利口音略蛋疼 上课不太看得懂欧式花体板书 但总体人很nice 给分很松,MATH3250 with Yen Do: 越南口音略蛋疼 但大部分都听得懂 有weekly homework，biweekly quiz以及期中期末 都会给模考所以挺简单,ECON3010 with Mark Santugini: 人特别好极其负责 课程很math heavy 数学不太好可能略难 作业是group的 一共五次,CS1110 with Luther Tychonievich: 不用去上课 都有video 一学期只用去三次考试就能轻松A,PSYC2600 with Timothy Wilson: 讲课中规中矩 每节课都有iclicker
APMA2130 with Robert Johnson，教授人很好很风趣很负责，邮件回复相当即使，课不是很难，作业量属于可以接受,ECE2630 Todd DeLong，作业较多，必修课，难度适中，教授人品算过关吧，个人建议不要一次性问他太多问题，你会发现他的态度会大变转。。。此课TA是真正的贴心啊,CHEM1620 with Kevin Wlech，没事就别上了，教授很好，但作业多考试难，考了APChem齐活，不然除非向我OCD，上了1610买了书就一定要上1620的人就不用考虑了,STS1500 with Michale Gorman，学分信价比最值得几个课之一，教授一般但TA很好，作业不多考试也不难，但一定要复习期中期末啊，不然GPA就是代价,"MUSI1620 with M. Paese. 较为水的一节HHS，春季特供，个人很喜欢，如果你喜欢音乐那就上吧，作业量低考试不难，了解管乐团的起源"
"Econ 2020 with Lee Coppock: 教授很负责教课很有条理，上课有powerpoint。有dutch knock-out. 考试考得挺细的，所以复习的时候除了看powerpoint，还得认真看书。",French 2010 with Elizabeth Hall：material不难，但考试有难度。每节课后都有作业，有一定的workload。,"CS 1110 wtih Luther Tychonievich: CS intro class 对CS 有兴趣的同学可以上。",Comm 1800 with Jeffrey Leopold: 成绩不一定会很高，但学到了很多。考试挺tricky。商院必修课。,Math 2310 with Prasit Bhattacharya: 老师挺负责，但交得一般。共两个midterm一个final。第一个midterm很难，但第二个巨简单。
"STS 5500. Prof. K. Neeley 非常专业的论文写作指导课，很有助于Capstone以及其它research paper的书写，easy A",APMA 3140 with Prof. D. Morris：非常系统的偏微分方程课，感觉甚至比常微分方程还要简单，好好听课就行,CS 4457 Computer Networks with Prof. Campbell: 教授人很好，讲课系统，但有一些枯燥，考试前务必把practice test过一遍，curve之后基本能A,,
STS 4600 工院写作课 内容是写毕业论文 如果你不是工院不用担心 如果你是工院……祝你好运,STAT 5120 数学专业选修课 讲linear model 很简单,CHE 4450 化工选修课 讲energy 写很多paper 不是化工专业不用上,CHE 4476 化工专业课 做毕业设计capstone project 不是化工专业不用上,
"ARH 1020 课程难度适中，要记忆建筑的信息，老师和TA很好，作业除了考试就是两个paper. 其中一个paper是research project一部分","ARCH 1030 studio 需要花很多时间做模型，老师严格，给分harsh","ARTH 2054 罗马史，教授和TA很好，都能把比较积极engage的同学记住名字，但要记得ID巨多，要写1000字左右museum paper",,
"APMA3100 Meiqing Li.新来的中国老师，教课很热情但是英语口语较差。每节课都有classwork要交，作业量较小。难度一般。 ","APMA3080 Meiqing Li.每周有written HW和webwork.这门课很简单，不需要prerequisite. ","ECE3430 Todd Delong这节课只有project没有考试。教授讲的少，需要多主动问问题。workload较小",,
APMA2120 是cal3 placed掉ap cal bc的工院学弟学妹们可以直接选 没有任何压力 workload和节奏都非常让人惬意的一门课！,CHEM1610 教授特别负责 workload有一点点大,ENGR1620 非常有趣的一门课！能学到很多解决问题的方法 没有workload,,
CS3330 with Charles Reiss，课程很难，算是cs里面比较难的课，但是教授讲的很好，对内容非常了解，作业量也比较正常。 难度上比2150要难，但是作业比2150要少， 每次课会发slides和课程录像。,CS4710  with Michael Freenor， 课程设置真的很好，难度适中，好拿分，教授好说话对知识熟悉，人也好，就是可能课后不太容易找到教授面对面解答问题。,CS4102 with Nathan Brunelle，教授课讲的很清楚，难度适中，作业量正常，每次课会发slides和课程录像。,"STAT 4630 with Jordan Rodu 教授人很好，不签到，难度适中，比较好拿分，作业量不大。",
ENWR1510 with Sarah Moseley. 工作量相对其他ENWR真的是非常少了！！！每周阅读量最多20多页。教授非常通人情，很希望大家去找她改作文。而且她的课你会有很多次改作文的机会，所以只要努力，最后成绩不会差。唯一的缺点是topic可能会让人觉得无聊。,PSYC2600 with Timothy Wilson. 强烈推荐这节课！内容有趣，教授知识渊博，讲座会经常运用视频、课内调查等方法，所以完全不无聊！作业的话如果你不想读教材的话只要读每章的summary就行，但考试前可能会麻烦一点，要重新读。考试每次40道选择题，只要好好复习概念绝对没问题。,MATH3351 with Andrew Obus. 教授透露出一股子聪明劲，这在UVa数学部门可是很少见的（笑）。而且上课模式非常像中国高中，不断地在证明概念。如果你对conceptual的东西消化很快，那这节课非常推荐，会让你觉得脑子一直在动，最后proof出来的时候也会很有成就感。不过，如果你更擅长computation，那这节课可能不太适合你。作业量每周一次大作业，算少的，一般2小时能写完。考试偏概念，得好好复习。,CS2102 with David Edwards. 全程教的就是数论、逻辑、排列组合这些数学知识，别被CS的外壳骗了。内容其实不难，如果你好好看上课PPT，课后好好做作业，考试完全游刃有余。作业一周一次，不多。教授概念有时候解释的会不太清楚，得自己上网查。不过由于是CS Major必修课，所以不得不上。另外，这个教授明年就不在UVa教书了，所以也不知道会怎么变。。。,COMM2010 网课，对于时间把控能力要求比较大。一周一个chapter，找到自己的学习方法和学习黄金时间段，就不会有问题。毕竟只是会计基础，概念不难，就比较多。
math 1320 with Andrew Kobin 如果上了calculus ap 一定要换 上课太容易困 考试难 而且要比ap难一些,stat 2120 with Jefferey woo很多人说是水课 但其实也不是很水 需要effort,plir 3310 with Michael Smith lecture很大 关于human rights ethics等和international relation 有时候会不按照outline说 比较发散 有时候会走神 但认真听还是有很多收获 professor smith很brilliant可以多去oh,French 1020 with Jean Herald 法语基础课一般都会需要花更多时间和effort去拿到比较好的成绩 老师很热情 英文不是很好,
BIO2200 教授讲的挺不错，但是考试有很多迷之wording，及其confusing。除非大家要生物major或者对生物真的有满腔热爱呵呵呵，否则不要选这门课,comm2010 大水课，随便上,econ2020 比comm2010还要水，考试大家基本都是满分吧,,
PHIL 2660 来UVA不上会后悔的课 一个学期有三个考试，每个占总成绩的三分之一。比较难拿A但是教授很幽默，讲课思路很清楚。,"PHIL 2420 with Joshua Schwartz相对水的一门课 problem set占分很大，但是好好做就没有问题。教授讲课不清楚，需要自己领悟",COMM2010 网课 考试占比很大 但是平时作业不是很耗时间,ENWR 1510 with Charles Sligh 主题是福尔摩斯 上课主要是讨论 教授给分严 但是如果喜欢福尔摩斯的话这是收获很大的课,CS1110 入门python课 可以不去lecture 比较好A 但是如果没有兴趣的话做平时作业可能比较困难
CS2150: 一周三个due，作业反正不算少，教授讲课一般，有些东西还是靠自学，难度还是有一点的，考试的出题思路也很清奇,CS3102: 内容还是很好玩的，虽然不算简单，每周都有奇奇怪怪的reading，但reading多写能拿很多EC，教授还行吧，思路还算清晰，而且上课都有录video，就是example不多而且难度比实际作业难度低不少,APMA2130: 学期前四五次作业超级多，每周一个quiz，三个midterm，教授上课基本只讲理论，附带一两个简单的example，但课程进度普遍偏慢而且理论有些讲的很复杂应用性不一定强而且也不是特别好懂，写作业反而可能最有用,,
"ECON2020 with Coppock我觉得虽然考试考得很愚蠢，但真的是质量很高的intro课，无论想不想学经济的都可以上一上。","APMA 2512 with Hui Ma工院APMA教的最好的老师了吧大概是。是个中国老师，真的很贴心负责而且萌萌哒，每门课都是选的时候瞬间爆满，如果抢的上的话一定要上hui ma的。 PS，这门课是两学期学calc 2和calc 3，如果你考了AP还是直接去上calc 3吧，多学一学期还是有点拖的","STS 1500 with Gorman额，工院最蠢的课。 虽然很喜欢Ben，但是这门课真的很蠢。可惜是工院必修。不过后面的sts都会好很多的，这节课会让你感受到sts课的下线。不过优点是不用花太多时间学习。","CS2102 with EdwardsEdwards下学期就不交了，所以不做评价了。","CS2150 with Charles ReissCS课表马上改革了，好像也没啥意义了。但这门课真的workload极大，讲c++，数据结构和assembly，能让你对cs的理解有质的飞跃。反正是必修，不上也得上

朋友我上了六门课这个地方不够呀
ECE 2330 with John Lach逻辑电路设计，很有趣的一门课，可以让你知道自己是学CS还是学CPE或者EE，老师是ECE department的chair，人很强很nice，无限强推，反正是CS CPE EE的必修课，不上也得上。"
math 1210 高中水平233 是个可以轻松上的课 是个一般人都不会上的课,psyc 2700 这学期的老师是新老师 课一般 内容=ppt=书 但是考试简单 而且没有final,psyc 3400 这节课可难了 考试更难 TAT 但是老师是真的好,enwr 2520 是个值得上的second writing课,phil 1010 intro阶段的这个课还是不错的 范围很广
ECE2630，很好A，但是课程本身很难,APMA2130，不算特别难,"CS1112
教授很有意思，水课",,
arch 3020 难度适中，教授会变，作业量挺大,arch 5710 简单，教授很好，作业不多,arh 3403 适中，教授很好，作业量不大,,
MATH3100 with AA: 我觉得教授很和蔼，考试会有几道做过的作业题，中等难度。缺点就是上课板书不是很整齐有时候会讲得快。,MATH3351 with Andrew Obus: 这个教授真的很好，学识渊博类型，对学生关注很高，记住每个人的名字。讲的东西偏概念化（证明略多），侧重点不在真正算题上面。但考试不是很难，只要上课都听懂了好好复习，很manageable。,COMM2010 with Roger Martin: 说实话 我没见过这个人，只好评价一下这个网课。事实上，accounting的课全都改成网课了，想考商院的同学也没得选。但网课也有它的好处：不用上课，自己把握时间每周学一个chapter做完题就好，但一定要督促自己好好看课本，看例题。考试也是在线的，和平时的练习题差不多类型，只要平时做好了考试一定没问题。,ENWR1510 with Elizabeth Fox：这节课的话题是ghost stories。读的东西挺有趣的，基本都是鬼故事或鬼故事分析。教授非常热情和蔼可亲，喜欢鼓励同学，只要去office hour就会很耐心的帮你，所以essay写不好一定要去找她！打分的话我个人觉得不严格，我是每篇essay都去找她问问题，成绩大概在A-和A之间浮动。,ECON3010 with Marc：强推和Marc上这节课！非常有耐心认真负责的难得的好教授，完全没有架子，本人非常幽默可爱，课堂清晰明了好理解。只要平时认真，考试绝对不难。（Marc真的好可爱！请和他上这节课吧！！）
